Model,Features,Class Imbalance Handling,Hyperparameters,ROC-AUC,Accuracy,Class 0 Precision,Class 0 Recall,Class 0 F1,Class 0 Support,Class 1 Precision,Class 1 Recall,Class 1 F1,Class 1 Support
Logistic Regression (class-weighted baseline),"17 base + engineered (ClickToOpenRatio, EngagementPerVisit, AdSpendPerClick, EngagementScore) + one-hot encoded AgeGroup/Gender/CampaignChannel/CampaignType; StandardScaler applied",class_weight=balanced,class_weight=balanced; random_state=42; max_iter=1000; solver=default(lbfgs); decision threshold=0.5,0.783268,0.75,0.3,0.74,0.42,198,0.95,0.75,0.84,1402
Logistic Regression (SMOTE),Same feature set as above; trained on SMOTE-resampled training data (790->5610 minority class),SMOTE oversampling (random_state=42),random_state=42; max_iter=1000; solver=default(lbfgs); no class_weight (SMOTE already balances classes); decision threshold=0.5,0.77964,0.76,0.31,0.72,0.43,198,0.95,0.77,0.85,1402
"Logistic Regression (SMOTE, tuned threshold)",Same as SMOTE Logistic Regression above,SMOTE oversampling + decision threshold tuning,"Same fitted model as SMOTE Logistic Regression; decision threshold=0.70 on class-0 probability, selected from precision/recall curve crossover point","N/A (threshold change only, same probabilities)",0.86,0.43,0.42,0.42,198,0.92,0.92,0.92,1402
Gradient Boosting Classifier (SMOTE) -- SELECTED FINAL MODEL,Same feature set as above; trained on SMOTE-resampled training data,SMOTE oversampling (random_state=42),sklearn defaults: n_estimators=100; learning_rate=0.1; max_depth=3; subsample=1.0; random_state=42; decision threshold=0.5,0.789244,0.89,0.54,0.49,0.52,198,0.93,0.94,0.94,1402
"Support Vector Machine (RBF kernel, SMOTE)",Same feature set as above; trained on SMOTE-resampled training data,SMOTE oversampling (random_state=42),kernel=rbf; C=default(1.0); gamma=default(scale); probability=True; random_state=42; decision threshold=0.5,0.726136,0.83,0.36,0.44,0.4,198,0.92,0.89,0.9,1402
